epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.892,1.16389,1.89899,1.42436,0.72822,0.83888,0.86875,0.60831,1.21793,0.81332,1.47491,0.000195543,0.000195543,0.000195543
2,224.822,1.04079,1.11261,1.28916,0.84698,0.88454,0.92108,0.66576,1.12569,0.68267,1.34883,0.000378622,0.000378622,0.000378622
3,327.686,1.02488,1.02411,1.27458,0.84927,0.90463,0.94898,0.68268,1.10221,0.64534,1.35468,0.000548765,0.000548765,0.000548765
4,427.53,1.01177,0.9831,1.2685,0.86542,0.92784,0.92512,0.68321,1.05637,0.58421,1.30744,0.000529788,0.000529788,0.000529788
5,530.059,0.97631,0.91128,1.24545,0.89192,0.91799,0.94588,0.69759,1.05064,0.54862,1.29243,0.000510384,0.000510384,0.000510384
6,632.836,0.96172,0.86994,1.22958,0.88376,0.95273,0.96749,0.71866,1.04388,0.55095,1.30203,0.00049098,0.00049098,0.00049098
7,734.342,0.93283,0.82829,1.21452,0.95764,0.92918,0.96702,0.72662,1.01454,0.51424,1.27452,0.000471576,0.000471576,0.000471576
8,836.933,0.91904,0.80384,1.20812,0.94605,0.95009,0.97234,0.74159,1.00637,0.48507,1.25702,0.000452172,0.000452172,0.000452172
9,939.462,0.91015,0.77883,1.2008,0.95217,0.93665,0.96966,0.73489,1.00314,0.48664,1.24964,0.000432768,0.000432768,0.000432768
10,1042.17,0.8998,0.76002,1.19629,0.94333,0.92931,0.96573,0.72709,1.01857,0.47317,1.28063,0.000413364,0.000413364,0.000413364
11,1143.66,0.88803,0.73399,1.1905,0.95053,0.96259,0.97589,0.74118,0.99798,0.45552,1.25341,0.00039396,0.00039396,0.00039396
12,1246.29,0.87907,0.72324,1.1804,0.96854,0.95967,0.98021,0.75595,0.98628,0.45816,1.24186,0.000374556,0.000374556,0.000374556
13,1347.58,0.86848,0.70894,1.17457,0.96132,0.92884,0.96272,0.74474,0.96505,0.4331,1.22114,0.000355152,0.000355152,0.000355152
14,1449.39,0.86538,0.68553,1.17108,0.94517,0.94197,0.97689,0.74951,0.97272,0.4392,1.23013,0.000335748,0.000335748,0.000335748
15,1551.29,0.8527,0.679,1.16606,0.94682,0.93943,0.96573,0.74888,0.96964,0.43487,1.22807,0.000316344,0.000316344,0.000316344
16,1653.23,0.84613,0.66434,1.16137,0.96179,0.96768,0.97445,0.75453,0.96245,0.41836,1.21693,0.00029694,0.00029694,0.00029694
17,1752.78,0.83935,0.6462,1.15806,0.96203,0.94656,0.97188,0.75635,0.96108,0.4142,1.21825,0.000277536,0.000277536,0.000277536
18,1853.76,0.83408,0.6399,1.15909,0.95634,0.93855,0.96608,0.75685,0.95971,0.41957,1.21428,0.000258132,0.000258132,0.000258132
19,1959.07,0.82229,0.62935,1.14907,0.96196,0.95224,0.97135,0.7684,0.93621,0.39564,1.19567,0.000238728,0.000238728,0.000238728
20,2065.02,0.82149,0.61144,1.14876,0.94463,0.96894,0.97528,0.76283,0.94809,0.39219,1.20317,0.000219324,0.000219324,0.000219324
21,2197.98,0.82908,0.40958,1.20894,0.95477,0.95886,0.97434,0.75987,0.96786,0.40363,1.22675,0.00019992,0.00019992,0.00019992
22,2297.73,0.82083,0.4026,1.20594,0.95561,0.97266,0.97681,0.76816,0.94959,0.39046,1.20806,0.000180516,0.000180516,0.000180516
23,2398.26,0.81275,0.38654,1.19408,0.9671,0.95397,0.9675,0.76534,0.9389,0.39227,1.19917,0.000161112,0.000161112,0.000161112
24,2501.13,0.80255,0.37759,1.19212,0.97256,0.9508,0.98189,0.77557,0.93722,0.39009,1.19643,0.000141708,0.000141708,0.000141708
25,2600.9,0.7956,0.37074,1.18704,0.97181,0.94844,0.97923,0.78441,0.93021,0.38243,1.18824,0.000122304,0.000122304,0.000122304
26,2699.8,0.7857,0.36331,1.18124,0.96955,0.96461,0.98474,0.787,0.92894,0.36793,1.18666,0.0001029,0.0001029,0.0001029
27,2798.53,0.77633,0.3505,1.17013,0.97637,0.96349,0.98719,0.79094,0.92642,0.36631,1.1866,8.3496e-05,8.3496e-05,8.3496e-05
28,2899.08,0.76895,0.34412,1.16809,0.97957,0.96206,0.98448,0.78568,0.92388,0.35876,1.18229,6.4092e-05,6.4092e-05,6.4092e-05
29,2999.71,0.75951,0.336,1.16175,0.97476,0.96342,0.98346,0.78774,0.91799,0.35791,1.17712,4.4688e-05,4.4688e-05,4.4688e-05
30,3100.05,0.75598,0.3301,1.16061,0.97534,0.96837,0.98146,0.78634,0.91642,0.35229,1.17732,2.5284e-05,2.5284e-05,2.5284e-05
