epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.2877,1.15976,1.34851,1.43831,0.85512,0.59556,0.63021,0.41199,1.23349,1.28678,1.7002,0.000473002,0.000473002,0.000473002
2,209.651,1.08321,0.9526,1.35118,0.62292,0.71967,0.63901,0.41556,1.15182,0.99466,1.69151,0.00092584,0.00092584,0.00092584
3,297.251,1.05901,0.92501,1.33861,0.91497,0.59494,0.63735,0.42329,1.0501,0.8901,1.52425,0.0013551,0.0013551,0.0013551
4,382.582,1.04704,0.8566,1.32089,0.68973,0.78571,0.71649,0.45815,1.10522,0.94724,1.60154,0.0013229,0.0013229,0.0013229
5,467.276,1.00537,0.82959,1.29732,0.67541,0.71197,0.7458,0.51221,0.9659,0.66055,1.41545,0.00128753,0.00128753,0.00128753
6,551.179,0.99624,0.78506,1.28809,0.80871,0.82671,0.82568,0.5467,0.95279,0.50534,1.4049,0.00125216,0.00125216,0.00125216
7,654.448,0.95718,0.73502,1.26122,0.8987,0.81496,0.85067,0.56601,0.91175,0.52391,1.34547,0.00121679,0.00121679,0.00121679
8,773.758,0.93129,0.71082,1.24725,0.97101,0.64025,0.75444,0.5223,1.02029,0.55506,1.46256,0.00118143,0.00118143,0.00118143
9,880.528,0.91785,0.69647,1.23898,0.64156,0.82671,0.71076,0.49236,0.99769,0.47642,1.4622,0.00114606,0.00114606,0.00114606
10,1018.1,0.91148,0.68382,1.24078,0.95442,0.66446,0.83829,0.5689,0.87804,0.43305,1.32946,0.00111069,0.00111069,0.00111069
11,1154.05,0.90525,0.66081,1.22177,0.87775,0.83333,0.87097,0.61314,0.80289,0.38334,1.23844,0.00107532,0.00107532,0.00107532
12,1265.94,0.88122,0.65697,1.21275,0.76483,0.91336,0.83822,0.59725,0.74649,0.35735,1.1936,0.00103995,0.00103995,0.00103995
13,1389.66,0.87107,0.61321,1.19536,0.95446,0.8245,0.8825,0.61547,0.85208,0.40368,1.29893,0.00100459,0.00100459,0.00100459
14,1513.19,0.8627,0.63019,1.1996,0.87334,0.91051,0.89697,0.65153,0.78845,0.38164,1.24215,0.000969219,0.000969219,0.000969219
15,1624.48,0.84197,0.6094,1.1872,0.94944,0.82827,0.90593,0.64172,0.83014,0.38473,1.27475,0.000933851,0.000933851,0.000933851
16,1715.36,0.82704,0.60182,1.18046,0.99701,0.80922,0.86833,0.61157,0.79172,0.34069,1.25413,0.000898484,0.000898484,0.000898484
17,1804.64,0.82817,0.59293,1.19031,0.91916,0.90938,0.95277,0.6194,0.83003,0.40412,1.27344,0.000863116,0.000863116,0.000863116
18,1898.09,0.82103,0.58395,1.17952,0.89704,0.89307,0.89053,0.67678,0.72435,0.34919,1.17103,0.000827748,0.000827748,0.000827748
19,1987.56,0.81966,0.57554,1.17843,0.95622,0.91225,0.9286,0.65957,0.75813,0.33718,1.20171,0.00079238,0.00079238,0.00079238
20,2076.56,0.81611,0.57982,1.18212,0.98574,0.82549,0.87054,0.62921,0.73616,0.32953,1.18804,0.000757013,0.000757013,0.000757013
21,2165.53,0.7963,0.57042,1.16867,0.98648,0.82974,0.8922,0.65935,0.73166,0.32584,1.19068,0.000721645,0.000721645,0.000721645
22,2255.36,0.78974,0.54464,1.15853,0.87457,0.90697,0.92434,0.69766,0.70555,0.325,1.15217,0.000686277,0.000686277,0.000686277
23,2343.97,0.7786,0.54109,1.15599,0.87697,0.91336,0.8885,0.66855,0.69747,0.31068,1.15766,0.000650909,0.000650909,0.000650909
24,2435.47,0.77273,0.52903,1.15028,0.96292,0.83223,0.89919,0.64444,0.76775,0.32545,1.20799,0.000615542,0.000615542,0.000615542
25,2525.1,0.76767,0.52601,1.14955,0.94252,0.82936,0.87076,0.66741,0.69618,0.3111,1.14414,0.000580174,0.000580174,0.000580174
26,2612.52,0.77158,0.52506,1.15137,0.99061,0.90408,0.92828,0.67513,0.72531,0.32113,1.17119,0.000544806,0.000544806,0.000544806
27,2700.89,0.76221,0.51909,1.14754,0.98165,0.82002,0.8962,0.69422,0.72031,0.32052,1.16809,0.000509438,0.000509438,0.000509438
28,2787.05,0.75724,0.50862,1.14238,0.9756,0.82383,0.90028,0.69868,0.69367,0.29471,1.14335,0.000474071,0.000474071,0.000474071
29,2874.5,0.75481,0.50377,1.14181,0.99688,0.90036,0.92749,0.678,0.72928,0.30721,1.17165,0.000438703,0.000438703,0.000438703
30,2960.97,0.75194,0.50157,1.13394,0.87567,0.83009,0.86995,0.68207,0.69342,0.28989,1.13978,0.000403335,0.000403335,0.000403335
31,3040.93,0.60579,0.29674,1.15371,0.91207,0.91253,0.91044,0.69434,0.70685,0.30173,1.1516,0.000367967,0.000367967,0.000367967
32,3119.46,0.60592,0.28192,1.14586,0.97741,0.83002,0.90208,0.69262,0.68151,0.2882,1.1349,0.0003326,0.0003326,0.0003326
33,3198.71,0.58794,0.2731,1.139,0.90834,0.91336,0.90838,0.68617,0.70767,0.28949,1.14709,0.000297232,0.000297232,0.000297232
34,3276.92,0.58324,0.26168,1.13881,0.8913,0.91365,0.91646,0.69752,0.72087,0.29418,1.1589,0.000261864,0.000261864,0.000261864
35,3356.04,0.58785,0.26041,1.13164,0.90063,0.91446,0.90132,0.70359,0.69154,0.28732,1.12965,0.000226497,0.000226497,0.000226497
36,3437.72,0.57423,0.25302,1.12064,0.90465,0.91376,0.90985,0.70835,0.67798,0.28218,1.12709,0.000191129,0.000191129,0.000191129
37,3539.02,0.56503,0.24227,1.11764,0.97135,0.8304,0.87687,0.67968,0.69267,0.28893,1.12897,0.000155761,0.000155761,0.000155761
38,3621.64,0.56207,0.23631,1.11496,0.96694,0.82853,0.90611,0.70792,0.67044,0.26236,1.11746,0.000120393,0.000120393,0.000120393
39,3700.52,0.55513,0.23282,1.10196,0.99603,0.91556,0.92,0.72337,0.67202,0.26503,1.11206,8.50255e-05,8.50255e-05,8.50255e-05
40,3780.81,0.54617,0.22702,1.10863,0.99309,0.91518,0.93127,0.71914,0.66059,0.25868,1.10592,4.96578e-05,4.96578e-05,4.96578e-05
