epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9219,1.06373,1.22339,1.3872,0.81073,0.93773,0.93978,0.66147,1.01684,1.33223,1.59867,0.000551669,0.000551669,0.000551669
2,77.844,0.99182,0.85073,1.30176,0.71005,0.79944,0.87602,0.6035,1.10713,1.30123,1.60684,0.00107993,0.00107993,0.00107993
3,112.502,0.97436,0.79934,1.29328,0.91658,0.8832,0.92509,0.68109,0.96011,0.71687,1.41098,0.00158068,0.00158068,0.00158068
4,146.767,0.94825,0.76327,1.27416,0.9344,0.95296,0.98417,0.6084,1.22634,0.66899,1.70651,0.00154323,0.00154323,0.00154323
5,181.868,0.92289,0.72005,1.25432,0.94693,0.94527,0.98037,0.73159,0.96806,0.55341,1.44245,0.00150197,0.00150197,0.00150197
6,216.871,0.90529,0.68099,1.24233,0.97342,0.96927,0.99324,0.71654,1.04834,0.509,1.51159,0.00146071,0.00146071,0.00146071
7,252.063,0.88579,0.66411,1.22441,0.94191,0.98986,0.99374,0.72143,0.99181,0.50504,1.45809,0.00141945,0.00141945,0.00141945
8,286.875,0.87182,0.63759,1.21761,0.98182,0.98438,0.99399,0.80004,0.78772,0.39429,1.25516,0.00137819,0.00137819,0.00137819
9,321.902,0.86298,0.61876,1.22092,0.97435,0.98592,0.99324,0.74964,0.89823,0.41283,1.3626,0.00133693,0.00133693,0.00133693
10,357.561,0.85138,0.61917,1.2054,0.98347,0.99287,0.99419,0.77739,0.90222,0.4037,1.33561,0.00129568,0.00129568,0.00129568
11,392.891,0.85185,0.60665,1.21002,0.98635,0.99042,0.99399,0.77023,0.90676,0.43002,1.36174,0.00125442,0.00125442,0.00125442
12,427.932,0.84719,0.60426,1.20976,0.98493,0.97468,0.99494,0.79769,0.83487,0.39916,1.28297,0.00121316,0.00121316,0.00121316
13,463.935,0.81491,0.57127,1.18303,0.98744,0.98066,0.99453,0.76385,0.88582,0.39786,1.33995,0.0011719,0.0011719,0.0011719
14,501.715,0.81017,0.55522,1.1852,0.9966,0.99585,0.99492,0.76724,0.8922,0.34429,1.33979,0.00113064,0.00113064,0.00113064
15,538.06,0.80042,0.54824,1.18574,0.99657,0.99346,0.99483,0.78528,0.83987,0.3403,1.28208,0.00108938,0.00108938,0.00108938
16,572.971,0.79573,0.54658,1.17754,0.98131,0.9933,0.99469,0.80934,0.80894,0.33741,1.24226,0.00104813,0.00104813,0.00104813
17,608.857,0.77905,0.52633,1.16438,0.97568,0.98022,0.99484,0.82075,0.73439,0.32416,1.19398,0.00100687,0.00100687,0.00100687
18,644.046,0.76949,0.51818,1.15445,0.98809,0.98761,0.99424,0.80877,0.77493,0.33411,1.22097,0.00096561,0.00096561,0.00096561
